ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0 10
0 10
0 0
ITEM: ATOMS id x y z
62 8.46117 0.666741 0
63 3.59187 5.11381 0
64 3.22494 3.52755 0
65 5.26873 0.982557 0
66 0.677442 9.82076 0
67 3.85654 0.691004 0
68 0.983807 6.61176 0
69 1.86039 9.41089 0
70 2.12191 0.917922 0
71 0.991502 4.57582 0
72 1.26954 0.0912358 0
73 0.182541 6.92041 0
74 7.64081 0.942574 0
75 5.90941 6.45016 0
76 8.48754 2.14335 0
77 0.970459 6.74642 0
78 3.9111 0.740559 0
79 9.11038 0.079851 0
80 9.85067 5.58946 0
81 2.97631 7.09626 0
82 0.670698 4.41585 0
83 0.771702 1.87387 0
84 6.1875 2.76072 0
85 1.65693 9.61834 0
86 8.51556 5.03398 0
87 1.98479 7.99541 0
88 1.12342 6.71876 0
89 9.84268 2.13719 0
90 8.78279 0.485932 0
91 6.45902 4.21296 0
92 6.68406 5.77371 0
93 1.87912 8.90728 0
94 5.69328 3.6896 0
95 3.58008 7.84858 0
96 5.80003 9.43053 0
97 2.17342 6.1338 0
98 3.80675 9.37551 0
99 1.93227 7.30483 0
100 7.4032 5.06653 0
ITEM: TIMESTEP
9
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0 10
0 10
0 0
ITEM: ATOMS id x y z
1 0.367054 2.05582 0
2 2.4591 2.24187 0
3 8.316 9.93949 0
4 8.29406 5.84144 0
5 1.71642 6.91608 0
